                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4651,                 1.1459,                 1.1005,                0.95164,                0.96065,                0.97426,                0.73119,                0.91511,                 54.774,                0.92843,              0.0033313,              0.0033313,              0.0033313
                      2,                  1.049,                0.63541,                0.92828,                0.95924,                0.96839,                0.98292,                0.79792,                0.72086,                 45.949,                 0.8612,              0.0065986,              0.0065986,              0.0065986
                      3,                0.94972,                0.56039,                0.89709,                0.97748,                0.98583,                 0.9903,                0.83616,                0.61136,                 60.136,                0.83433,                 0.0098,                 0.0098,                 0.0098
                      4,                0.83707,                0.48829,                0.87027,                0.99283,                0.98946,                0.99394,                0.88053,                0.50772,                 10.499,                0.81487,               0.009703,               0.009703,               0.009703
                      5,                0.73918,                0.42837,                0.85031,                0.99503,                0.99412,                0.99427,                0.89711,                0.46291,                  1.468,                0.80668,               0.009703,               0.009703,               0.009703
                      6,                0.68132,                0.39332,                0.83891,                0.99731,                0.99643,                 0.9943,                0.91411,                0.41496,                0.42766,                0.79711,               0.009604,               0.009604,               0.009604
                      7,                0.64134,                0.37034,                0.83241,                0.99722,                0.99518,                0.99434,                0.92239,                0.39766,                0.31736,                0.79377,               0.009505,               0.009505,               0.009505
                      8,                0.61089,                 0.3533,                0.82647,                0.99826,                0.99791,                0.99453,                0.93031,                0.37047,                0.38556,                0.78989,               0.009406,               0.009406,               0.009406
                      9,                0.58802,                0.34113,                0.82244,                0.99703,                0.99618,                 0.9945,                0.93767,                0.35647,                0.28935,                0.78727,               0.009307,               0.009307,               0.009307
                     10,                0.56742,                0.32997,                0.81927,                0.99848,                0.99801,                0.99456,                0.94335,                0.34442,                0.25584,                0.78519,               0.009208,               0.009208,               0.009208
                     11,                0.55268,                0.32192,                0.81667,                 0.9982,                0.99787,                 0.9945,                0.94966,                0.32445,                0.23528,                0.78346,               0.009109,               0.009109,               0.009109
